x,y,z,t
0.001952,-0.211792,0.835944,243926452
0.052216,-0.183488,0.94428,243926472
0.015616,-0.285968,1.017968,243926492
-0.00488,-0.376736,1.051152,243926512
-0.135664,-0.423096,0.949648,243926532
-0.181048,-0.392352,0.89792,243926552
-0.07076,-0.355752,0.950624,243926573
-0.021472,-0.354776,0.969168,243926593
-0.158112,-0.390888,1.01992,243926613
-0.213256,-0.404552,1.114104,243926633
-0.089792,-0.36356,1.11264,243926653
-0.105896,-0.354288,1.048712,243926673
-0.088816,-0.272792,0.95648,243926693
-0.15128,-0.212768,0.897432,243926714
-0.144936,-0.14152,0.96136,243926734
-0.138104,-0.162992,1.024312,243926754
-0.297192,-0.215696,0.995032,243926774
-0.301584,-0.10248,0.969656,243926794
-0.245464,-0.026352,0.940376,243926814
-0.32696,0.018056,0.835456,243926834
-0.422608,0.079544,0.682224,243926855
-0.406992,0.169336,0.586088,243926875
-0.4148,0.213256,0.683688,243926895
-0.44164,0.242536,0.776408,243926915
-0.4148,0.271816,0.723704,243926935
-0.370392,0.29768,0.731024,243926955
-0.408944,0.294752,0.765672,243926975
-0.413824,0.291824,0.677832,243926996
-0.343064,0.362584,0.7442,243927016
-0.345504,0.379664,0.872544,243927036
-0.3294,0.40748,0.875472,243927056
-0.248392,0.43432,0.821304,243927076
-0.179584,0.460184,0.77104,243927096
-0.235704,0.516792,0.716384,243927116
-0.366488,0.527528,0.649528,243927137
-0.330864,0.511912,0.586576,243927157
-0.147376,0.55388,0.634888,243927177
-0.103456,0.612928,0.684664,243927197
-0.183976,0.602192,0.717848,243927217
-0.162016,0.570472,0.692472,243927237
-0.07808,0.584624,0.539728,243927257
-0.077592,0.618784,0.499224,243927278
-0.10736,0.579256,0.587064,243927298
0.186904,0.647088,0.71736,243927318
0.146888,0.615856,0.825208,243927338
-0.05612,0.482144,0.813984,243927358
-0.197152,0.437736,0.699792,243927378
0.47824,0.603168,0.80276,243927398
0.430416,0.630008,0.78568,243927419
0.152256,0.473848,0.723216,243927439
-0.037088,0.404064,0.83692,243927459
-0.03416,0.312808,0.776896,243927479
0.972096,0.580232,0.798368,243927499
0.464088,0.513864,0.676368,243927519
0.187392,0.291824,0.516304,243927539
0.18056,0.271816,0.674904,243927560
0.734928,0.2562,0.90036,243927580
0.918904,0.397232,0.825696,243927600
0.619272,0.296216,0.55632,243927620
0.508008,0.255224,0.502152,243927640
0.471408,0.165432,0.711992,243927660
