x,y,z,t
34.3125,44.0625,420.3125,243926492
32,45.25,421.625,243926532
29.25,46.0625,422.125,243926573
28.4375,47.375,423.625,243926613
30.1875,46.6875,423.875,243926653
30.625,46.0625,423.125,243926693
32.5625,46.375,421.875,243926734
34.25,45.5625,421.5625,243926774
34.5,43.625,419.75,243926814
37.25,39.8125,414.4375,243926855
36.4375,38.0625,412.75,243926895
35.75,36.1875,411.6875,243926935
35.5,32.9375,410.5625,243926975
34.3125,32.3125,410.4375,243927016
33.9375,30.375,407,243927056
30.75,27.9375,406.6875,243927096
30.1875,27.875,406.75,243927137
29.375,24.6875,406.0625,243927177
28.4375,23.3125,404.875,243927217
25.125,23.9375,404.875,243927257
24.625,23.4375,404.1875,243927298
22.6875,23.875,404.875,243927338
21.0625,24.3125,405.3125,243927378
18.25,26.25,406.625,243927419
15.9375,28.1875,408.0625,243927459
14.375,27.5,408.8125,243927499
14.6875,29.25,409.75,243927539
14,32,410.4375,243927580
12.5,33.5,412.1875,243927620
12.0625,35.1875,414.25,243927660
12,36.9375,415.75,243927701
11.375,38.5625,416.8125,243927741
13.8125,41.125,418.375,243927781
14.875,42.875,420.25,243927821
13.8125,42.625,423.0625,243927862
15.4375,44.375,424.8125,243927902
18,46.8125,425.0625,243927942
20.5625,48.0625,425.875,243927983
23.0625,48.0625,426.5,243928023
25.5,48.875,427.4375,243928063
27.4375,48.375,427.5,243928103
31.125,47.3125,427.9375,243928144
32.75,48.0625,429.375,243928184
35.125,49.0625,430.3125,243928224
39.25,46.9375,432.625,243928265
39.625,46.875,433.3125,243928305
41.0625,46.4375,433.1875,243928345
38.9375,48,430.6875,243928385
38.875,47.625,428.375,243928426
39.4375,48.8125,431.4375,243928466
42.75,46.9375,431,243928506
42.1875,43.4375,431.3125,243928547
45.125,44.5625,430.875,243928587
46.5,43.5625,431.8125,243928627
48,43,431.5625,243928667
49.75,41,431.4375,243928708
50.9375,39.9375,429,243928748
51.5,37.9375,428.9375,243928788
51.8125,35.375,426.8125,243928828
52.875,34.4375,424.75,243928869
52.75,34.4375,424.1875,243928909
52.1875,34.3125,423.1875,243928949
51.125,30.75,420,243928990
51.25,28.4375,418.8125,243929030
50.25,26.8125,416.375,243929070
50.0625,25.5,414.5625,243929110
48.625,22.75,413.625,243929151
46.9375,21.375,411.6875,243929191
45.3125,19.8125,410.8125,243929231
42.6875,18.8125,408.6875,243929272
39.6875,18.625,407.125,243929312
37.4375,19.4375,406.5,243929352
33.75,21.1875,405.375,243929392
28.9375,23.6875,405.25,243929433
25.5625,24.5625,405.625,243929473
22.875,25.5625,406.1875,243929513
20.5625,28.3125,406.75,243929554
18.5,30.5625,407.1875,243929594
17.875,32.0625,409.0625,243929634
17.625,34.75,411.6875,243929674
15.5625,36.5625,414.3125,243929715
14.875,38,415.5,243929755
14.875,40.8125,417,243929795
13.3125,41.875,419.125,243929836
14.5,42.875,420.9375,243929876
16.6875,42.875,421.9375,243929916
16.5,44,422.1875,243929956
17.3125,44.25,425.1875,243929997
19.6875,47.5625,430.1875,243930037
21.375,48.6875,430.625,243930077
21.25,47.8125,432.125,243930118
25.4375,48.5,430.5,243930158
27.125,49.375,430.75,243930198
29.5625,48.875,432.375,243930238
29.375,48.9375,431.375,243930279
30.625,49.8125,433.5,243930319
32.8125,49.0625,433,243930359
35.25,48.25,432.1875,243930400
37.1875,48.4375,432.25,243930440
38.5625,47.4375,432.4375,243930480
43.0625,46.5,434.1875,243930520
45.125,45.0625,434.625,243930561
46,44.25,434.6875,243930601
49.0625,42.9375,435.625,243930641
49.375,42.375,434.8125,243930682
49.8125,40.5,432.875,243930722
51.375,38.8125,431.1875,243930762
52,38.125,429.9375,243930802
51.75,38.25,430,243930843
52.375,37.0625,428.8125,243930883
53.0625,36,428.4375,243930923
53.5,34.8125,427.5,243930963
53.3125,33.375,425.25,243931004
52.6875,32.8125,422.9375,243931044
51.8125,31.6875,419.9375,243931084
50.4375,30.625,418.125,243931125
49.375,30.375,417,243931165
47.6875,29.875,415.125,243931205
46.4375,28.1875,413.3125,243931245
43.8125,26.375,411.1875,243931286
41.125,27.25,409.5625,243931326
39,27.3125,408.3125,243931366
36.75,26.4375,408.1875,243931407
33.4375,26,406.3125,243931447
32,25.75,405.6875,243931487
27.3125,25.4375,406.5625,243931527
24.3125,28.0625,405.375,243931568
22.5625,29.5,406.5625,243931608
21.4375,29.625,406.375,243931648
19.6875,32.3125,409.5625,243931689
19.4375,33.6875,410.25,243931729
18.4375,36.9375,411.9375,243931769
19.375,38.9375,414,243931809
17.25,38.4375,416.25,243931850
15.9375,40.75,415.375,243931890
14.625,39.4375,418.125,243931930
15.125,40.9375,419.8125,243931971
15.6875,43.375,421.9375,243932011
17.125,45.125,423.75,243932051
17.25,44.8125,423.5,243932091
18.5,44.875,425.6875,243932132
19.9375,47.125,427.0625,243932172
20.375,47.625,426.5,243932212
20.875,46.4375,427.4375,243932253
22.5,47.4375,426.875,243932293
23.875,47.8125,427.4375,243932333
25.6875,48.0625,428,243932373
29.125,48.25,429.4375,243932414
29.5625,48,429.875,243932454
30.9375,48.0625,429.375,243932494
32,48.5625,429.875,243932535
32.8125,48.6875,430.6875,243932575
35.375,49.375,431.625,243932615
37,48.5,431.8125,243932655
37.9375,47.0625,431.5,243932696
39.5625,47.1875,432,243932736
41.0625,46.5,431.8125,243932776
41.1875,46.875,432.0625,243932817
43.375,45.8125,431.625,243932857
43.75,44.625,430.625,243932897
45.9375,41.9375,428.9375,243932937
46.375,42,427.5625,243932978
47.625,40.9375,425.9375,243933018
48.75,40.125,424.875,243933058
51.0625,36.9375,422.0625,243933099
48.3125,33.4375,419.9375,243933139
48,32.8125,418,243933179
47.5,29.4375,413.6875,243933219
46,26.9375,411.1875,243933260
44.1875,24.0625,411.375,243933300
41.0625,21.9375,408.75,243933340
40.9375,21.8125,407,243933380
38.5,20.375,405.5625,243933421
34.4375,22.4375,406.125,243933461
32.9375,23.4375,405.375,243933501
29.5,24.9375,405.6875,243933542
27,26.9375,405.875,243933582
23.4375,29.5625,406.5625,243933622
21.5625,33.0625,409.3125,243933662
20.875,36.0625,410.5,243933703
20.875,38.125,411.8125,243933743
21.375,38.6875,413.125,243933783
23,41.75,415.125,243933824
24.0625,42.1875,417.125,243933864
26.25,42.625,417.625,243933904
28.6875,42.625,417.3125,243933944
30.1875,42.4375,417.1875,243933985
33.0625,41.1875,417.25,243934025
36.375,40.6875,417.8125,243934065
37.4375,41.0625,417.5,243934106
38.1875,40.9375,417.8125,243934146
38.8125,41,418.25,243934186
39.5625,41,417.9375,243934226
39.9375,40.9375,417.8125,243934267
40.125,40.875,417.4375,243934307
39.8125,40.4375,418.0625,243934347
39.9375,39.875,417.9375,243934388
39.75,39.5625,417.0625,243934428
40.8125,39.25,417.3125,243934468
40.625,40.9375,418,243934508
40.5625,39.5,417.9375,243934549
39.6875,38.6875,417.6875,243934589
40.5,38.625,417.125,243934629
40.8125,38.625,417.25,243934670
40.375,40.25,417.4375,243934710
41.5,39.0625,416.9375,243934750
39.3125,39.25,418.1875,243934790
39.25,39.1875,415.6875,243934831
39.75,38.3125,414.6875,243934871
38.9375,38.4375,417.0625,243934911
39.75,39,416,243934952
39.25,39.875,416.4375,243934992
39.5625,39.125,414.8125,243935032
38.625,38.4375,415.8125,243935072
39.875,38.5625,415.875,243935113
40.9375,37.875,414.8125,243935153
40.6875,38.5625,414.875,243935193
40.75,37.375,415.8125,243935234
39.5,38.8125,417.375,243935274
39.6875,38.1875,416.1875,243935314
39.4375,37.8125,415.125,243935354
39.4375,37.875,414.0625,243935395
39.8125,38.4375,415.1875,243935435
40.375,38.125,415.25,243935475
39.8125,37.875,415.75,243935515
40.125,36.6875,415.125,243935556
39.5625,36.875,414.625,243935596
40.125,36.9375,414.375,243935636
41,37.375,414.4375,243935677
41.4375,37.625,414.5625,243935717
41.25,37.8125,414.5625,243935757
42.25,36.625,415,243935797
42.375,35.9375,414.8125,243935838
41.25,35.625,414.9375,243935878
40.75,36.5625,414.875,243935918
40.875,36.9375,415.0625,243935959
40.6875,36.5,415.0625,243935999
40.5,36.5,414.5,243936039
40.375,37.125,413.9375,243936079
39.8125,37.125,413.5,243936120
40.125,38.0625,414.4375,243936160
39.625,38.0625,414.375,243936200
38.5625,37.0625,414.25,243936241
39.5,37.125,415.125,243936281
38.4375,38.25,414,243936321
38.625,36.75,414.25,243936361
38.5625,37.9375,414.75,243936402
37.75,38.25,413.0625,243936442
39.8125,38.75,413.0625,243936482
